Name,Actual_WAR,Predicted_WAR
Mike Lundholm,-0.2,1.0406288
Shalin Polanco,1.1,1.1736791
Jim Froelich,-0.7,0.56335205
David Spencer,0.1,0.04717475
Danny Ramirez,0.3,-0.18583485
Tony Duran,0.4,0.0156015465
Ji-hu Kim,7.3,3.606346
Rafael Serrano,3.8,2.6350827
Mark McDonald,1.0,0.956375
Rich Peeler,0.3,1.1984239
Heston Kjerstad,1.0,1.1565682
Joe Matson,0.1,0.7929948
Rafael Serrano,2.6,3.458624
Logan Sieverding,-0.9,1.6752042
Mario Santiago,0.1,0.74243134
Stuart Stuessy,0.6,0.5339127
Chris Fuentes,0.1,-0.5652195
Eddie Lopez,-0.2,0.019350026
Sid Ruppert,5.0,2.4175818
Roman Anthony,0.7,0.42526156
Monte Santiago,3.2,3.7600136
James Wood,4.9,4.889002
Chandler Simpson,2.1,2.6908965
Armando Galarza,0.1,1.1240642
Franklin Garcia,0.9,0.15998325
AJ Ewing,2.0,3.8989406
Mike Quick,0.1,0.37512934
Dylan Carlson,-0.6,0.1332934
Edwin Romero,-0.3,0.4815021
Mike Burnett,1.8,2.6794457
Aaron Torres,2.6,1.7549747
Omar Marin,4.7,6.1341944
Will Chance,4.9,5.184233
David Villanueva,4.5,4.871819
Jeff Levy,2.5,0.969183
Jose Rodriguez,-0.1,-0.04071442
Ed Burtner,2.9,2.1812334
Angelo Diaz,1.0,1.1692405
Chris Christie,0.1,0.10191253
Max Williams,-0.1,1.6196026
Pierceson Pursel,-0.8,-0.06257467
Alex Lopez,0.3,0.7880338
Hugo Negron,6.1,4.310413
Justin Heidt,2.5,2.7437677
Jack Kittleson,4.2,1.1084154
Alexis Ferrufino,-0.1,0.12429666
Matt Matise,-0.8,1.0586615
Carlos Hernandez,5.6,3.8897943
Emmanuel Rodriguez,2.5,2.5450401
Carlos Rivera,1.0,2.3234344
Ricky Macias,2.6,2.5888214
Michael Conforto,0.9,0.456364
Roman Anthony,3.5,4.3520703
Hugo Negron,7.4,4.1823864
David Thornton,6.2,6.119599
Steve Bauck,0.1,1.1286126
Omar Marin,6.8,6.2960353
Roberto Balderas,1.9,2.0369134
Jesus Rosado,0.7,0.38028085
Jordan Irizarry,0.1,0.25704294
Jason Harris,1.8,2.2347486
Brandon Logan,0.5,1.1768204
Sadanobu Kano,-0.2,1.324885
Raul Gongora,6.1,4.4041886
Spencer Steer,0.5,0.993567
Mike Harvey,-0.2,1.2170792
Scott Juhl,1.1,0.003991384
Scott Juhl,-0.7,0.39762345
Jason Harris,1.4,0.47182658
Eric Palka,5.0,5.7781453
Jairo Ocampo,3.5,3.6733282
Matt Vierling,-0.1,0.1404099
Jose Rodriguez,2.0,2.453558
Philip Little,-0.7,0.6000597
Facundo Velasquez,-0.1,0.34384787
Gabriel Avitia,1.1,1.4537003
Gastão Guards,0.6,1.1835294
Rodrige Golfin,0.5,1.3886023
Moises Gomez,-0.7,0.16724603
Heliot Ramos,1.1,1.2733688
Antonio Gonzalez,3.0,0.94496095
Tony Ramos,1.8,1.8622507
Francisco Martinez,3.2,5.6021996
Earl Carpenter,2.5,1.2214646
Alex Perez,0.7,0.537974
Ariel Almonte,-0.1,1.5402092
Raul Gongora,1.8,1.7899716
Estaçio Sarreira,0.6,-0.011081746
Ariel Almonte,0.2,0.68950623
Rick Hall,-0.6,-0.0793023
Antonio Charo,-1.4,0.1978793
Mike Ruffin,5.0,3.4182923
Jose Vidal,2.5,3.0630507
Jorge Esquivel,-0.1,1.7814996
John Woods,0.5,1.6309363
Ed Burtner,2.5,3.2664676
Sal Valdez,0.2,1.8816254
Carlos Rosario,0.5,0.077895075
Dane Myers,2.4,1.403628
Eric Palka,5.9,5.982144
Jackson Merrill,1.0,1.1704051
Scott Juhl,0.5,0.04305507
Lourdes Gurriel Jr.,0.2,-0.019874863
Chris Christie,-0.1,0.041313954
Justin Fuller,0.3,1.6251457
Ricky Holguin,0.8,0.61125374
Evan Bolten,3.0,1.5351378
Jose Acosta,0.7,1.4694852
Ethan Vest,2.6,3.6955411
Mario Izurieta,-0.6,0.32845435
Arturo Covarrubias,0.1,-0.14026438
Antonio Gonzalez,3.7,1.0402983
David Villanueva,5.7,5.075598
Emmanuel Cervantes,0.1,0.9398525
Ricky Guerrero,-0.2,0.6154268
Ethan O'Donnell,3.5,3.3317828
Manabu Tamura,0.1,0.5006599
Ian Petrutz,0.2,-0.38826653
Gabriel Santiago,0.3,0.61714077
Ian Petrutz,0.9,0.08254051
Ken Hitt,-0.1,2.4731512
Werner Sykora,-0.5,2.875824
Alex Zarco,3.8,4.937235
Gregg Mack,1.1,0.9561632
A.J. Nash,-0.4,1.2881249
Ruben Guevara,0.2,0.09473791
AJ Ewing,-0.4,2.7893887
Mike Ruffin,-0.4,0.4610432
Alex Zarco,5.9,4.961915
Taylor Trammell,2.5,1.5372491
Ethan Vest,2.3,2.7960596
Armando Blanco,-1.2,-0.001118483
Mark Keith,-0.1,0.36943665
Slade Caldwell,2.2,1.1845552
Luis Murillo,0.5,1.2951946
Pete Matthiesen,0.5,1.2861454
Danny Sandoval,-0.1,0.83720136
Alberto Oropeza,1.3,1.5439503
Victor Ramos,-0.4,0.14047247
Alex Orona,0.4,0.19266653
Guy Lipscomb,1.5,0.42732272
James Wood,6.0,5.631386
Aaron Jones,0.1,0.22940159
Moises Reyes,2.7,2.5589414
Jason DeLong,3.6,2.1470494
Henry Bolte,2.8,2.317575
Carlos Alcantara Jr.,-0.2,2.574751
Javier Sanoja,-0.1,1.1286819
Eduardo Rivera,2.7,1.6402036
John Robben,1.5,1.5383272
Justin Ward,0.8,0.7126593
Mike Atkins,7.6,6.465256
Jason Tucker,-0.1,2.245008
Isao Yamamoto,4.9,0.16682917
Ken Hitt,5.2,3.8252811
Gary Curtis,0.8,0.3755937
Brandon Marsh,1.1,0.8276665
Sergio Carranza,0.4,0.5755186
Bill Perez,1.9,2.135743
Emanuel Rodriguez,3.9,2.2534041
Rafael Castro,0.6,0.10760538
Angelo Diaz,0.7,0.18266428
Rafael Perez,1.0,0.9917458
Taylor Trammell,0.5,1.2745019
Joe Pate,-0.2,0.799308
Tyler O'Neill,-0.2,0.60791045
Brett Cain,5.6,3.141135
Joe Matson,3.5,1.5247105
Ethan O'Donnell,4.1,2.1545386
Jarren Duran,1.4,2.5115862
Jim Costigan,0.7,0.8152736
