Name,Actual_WAR,Predicted_WAR
Juan Hernandez,3.1,3.5404077
Ian Happ,-0.4,0.008585974
Rob Marlow,0.9,1.5572166
Dan Olson,2.9,0.55467504
Xavier Isaac,1.6,0.63988847
Carlos Urbina,-0.2,1.4897676
Hector Muniz,0.3,0.86279124
Manuel Martinez,0.4,-0.08796855
Mike Holliday,-0.1,1.1253622
Nolan Jones,1.8,1.3043936
Tony Estrada,0.5,-0.106179945
Mike Alexander,0.8,2.5554862
Angel Ramos,6.4,6.757468
Angelo Diaz,2.6,1.6548136
Kennie Vargas,0.1,0.110453084
Miguel Tavarez,-0.2,0.6329736
Jonathon Riley,0.1,-0.6114998
Bryan Ramos,4.0,4.8180714
Manuel Velez,6.1,4.1648955
Nolan Schanuel,2.2,2.0597205
Javier Olea,0.3,-0.36956576
Felix Garcia,-0.3,-0.44458193
Danny Gonzales,1.9,1.0064566
Kyle Schwarber,0.7,0.9586125
Manuel Martinez,-0.1,0.921864
Ernesto Partida,1.7,1.6964091
Javier Olea,1.4,1.6862171
Tome Maggessi,1.3,1.2544851
Kazuya Fukuda,0.3,1.1392739
Cesar Aguayo,7.0,7.004581
Skyler Cunningham,0.2,0.4059213
Francisco Bonilla,-0.1,0.08573267
Ruben Lis,-0.3,0.8404895
Jake Burger,0.5,1.151314
Nick Navarre,0.2,0.28399515
Jorge Martinez,0.6,0.7564518
Ray Zuijderduijn,-1.2,1.2155255
Jose Tapia,5.2,3.426909
Jordan Jimenez,5.4,2.9434712
Justin Gonzales,-0.4,0.34050602
Mike Blank,3.5,2.7809732
Josh Gilbert,-0.4,0.2727822
Dan Olson,0.1,-0.5615707
Luke Adams,2.7,0.445872
Alejandro Gonzalez,-0.1,1.0790415
Alex Castillo,3.3,1.9510884
Keith Limeburner,2.3,2.8857503
Mike Estevez,2.5,0.7580317
Billy Gillis,-0.2,1.0195525
Vladimir Guerrero Jr.,1.0,3.2095294
Angelo Diaz,2.5,1.953665
Rhys Hoskins,0.2,-0.21756004
Carlos Median,4.6,5.848198
LaMonte Wade Jr.,0.3,1.0697573
Angel Le Carré,5.0,5.1834154
Victor Rojas,0.3,0.9988459
Kristian Campbell,-0.3,0.19180022
Ricardo Rodriguez,0.3,0.57473886
Chris Milligan,0.8,1.7017128
B.J. Carrillo,4.3,4.594329
Gabriel Arango,0.2,0.5943759
Jamie Bokman,0.7,1.3983098
Alberto Viera,-0.1,0.36588305
